event_id,path,log_text,anomaly_score
light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log:334,light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log,"07:03:06.241 [XNIO-1 task-2]  Uw4Omi8BTPSbAJnXPdyNjA ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token 6570c481-2e1f-42cc-b983-a10e5c8e4c15 is not found."",""severity"":""ERROR""}",0.9999999821173425
light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log:198,light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log,"07:03:06.177 [XNIO-1 task-2]  JcewUtUSRw2hz8IKUKuhTw ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token 6570c481-2e1f-42cc-b983-a10e5c8e4c15 is not found."",""severity"":""ERROR""}",0.9697118955173256
light-oauth2-data-1719832445/register_service_400_service_type/light-oauth2-oauth2-refresh-token-1.log:174,light-oauth2-data-1719832445/register_service_400_service_type/light-oauth2-oauth2-refresh-token-1.log,"11:04:10.137 [XNIO-1 task-1]  1elhV7oQSeSPcM_UbGFcrQ ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token 103eaa8b-6907-402a-b543-23d008169ca3 is not found."",""severity"":""ERROR""}",0.9667093991041984
light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log:144,light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log,"07:03:06.155 [XNIO-1 task-2]  P7wAFna9RTyRgNvvcrhtjA ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token 6570c481-2e1f-42cc-b983-a10e5c8e4c15 is not found."",""severity"":""ERROR""}",0.9654305605801549
light-oauth2-data-1719900846/authorization_code_response_not_code_400/light-oauth2-oauth2-refresh-token-1.log:236,light-oauth2-data-1719900846/authorization_code_response_not_code_400/light-oauth2-oauth2-refresh-token-1.log,"06:06:14.328 [XNIO-1 task-1]  4zwqgNmZScCCjrp0dcSyAg ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token b05beee8-2992-4a9f-b917-45292a7ecb0b is not found."",""severity"":""ERROR""}",0.9550706851034545
light-oauth2-data-1719900846/authorization_code_response_not_code_400/light-oauth2-oauth2-refresh-token-1.log:566,light-oauth2-data-1719900846/authorization_code_response_not_code_400/light-oauth2-oauth2-refresh-token-1.log,"06:06:14.497 [XNIO-1 task-1]  rfaKqYPzT7S96x9sVibrag ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token b05beee8-2992-4a9f-b917-45292a7ecb0b is not found."",""severity"":""ERROR""}",0.9548111789171464
light-oauth2-data-1719900846/authorization_code_response_not_code_400/light-oauth2-oauth2-refresh-token-1.log:298,light-oauth2-data-1719900846/authorization_code_response_not_code_400/light-oauth2-oauth2-refresh-token-1.log,"06:06:14.365 [XNIO-1 task-1]  hIsa93RxTJe2vcvQtq51eg ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token b05beee8-2992-4a9f-b917-45292a7ecb0b is not found."",""severity"":""ERROR""}",0.9546101521196434
light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log:345,light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log,"07:03:06.249 [XNIO-1 task-2]  coy-tgpPQTyBNFhvU8wSoA ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token 6570c481-2e1f-42cc-b983-a10e5c8e4c15 is not found."",""severity"":""ERROR""}",0.9486890526195779
light-oauth2-data-1719900846/authorization_code_response_not_code_400/light-oauth2-oauth2-refresh-token-1.log:476,light-oauth2-data-1719900846/authorization_code_response_not_code_400/light-oauth2-oauth2-refresh-token-1.log,"06:06:14.449 [XNIO-1 task-1]  S0EDnzLPSICO8WVTZO2qpw ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token b05beee8-2992-4a9f-b917-45292a7ecb0b is not found."",""severity"":""ERROR""}",0.9464406147389254
light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log:41,light-oauth2-data-1719818047/delete_client_404_no_client/light-oauth2-oauth2-refresh-token-1.log,"07:03:06.098 [XNIO-1 task-2]  goGLJwXdSPSHH9SO1f1ZeA ERROR c.networknt.handler.LightHttpHandler setExchangeStatus - {""statusCode"":404,""code"":""ERR12029"",""message"":""REFRESH_TOKEN_NOT_FOUND"",""description"":""Refresh token 6570c481-2e1f-42cc-b983-a10e5c8e4c15 is not found."",""severity"":""ERROR""}",0.9442651169476242
