class,rank,feature,weight
OTHER,1,444444,1.1321707823596785
OTHER,2,rid 444444,0.7547805215731193
OTHER,3,bot,0.37739026078655963
OTHER,4,msg bad,0.37739026078655963
OTHER,5,modsecurity conf,0.37739026078655963
OTHER,6,id 444444,0.37739026078655963
OTHER,7,bad bot,0.37739026078655963
OTHER,8,bad,0.37739026078655963
OTHER,9,modsecurity modsecurity,0.37739026078655963
OTHER,10,blocked,0.37739026078655963
OTHER,11,213 id,0.37739026078655963
OTHER,12,line 213,0.37739026078655963
OTHER,13,phase matched,0.37739026078655963
OTHER,14,access denied,0.37739026078655963
OTHER,15,and blocked,0.37739026078655963
OTHER,16,213,0.37739026078655963
OTHER,17,with code,0.37739026078655963
OTHER,18,blocked severity,0.37739026078655963
OTHER,19,bot detected,0.37739026078655963
OTHER,20,444444 rid,0.37739026078655963
OTHER,21,403,0.37739026078655963
OTHER,22,rev,0.37739026078655963
OTHER,23,code 403,0.37739026078655963
OTHER,24,rev msg,0.37739026078655963
OTHER,25,detected and,0.37739026078655963
OTHER,26,denied with,0.37739026078655963
OTHER,27,file etc,0.37739026078655963
OTHER,28,phase,0.37739026078655963
OTHER,29,denied,0.37739026078655963
OTHER,30,etc modsecurity,0.37739026078655963
RCE,1,920340,0.5465569880956491
RCE,2,protocol,0.5232163774299865
RCE,3,charset,0.5072367476978361
RCE,4,alive,0.48233122559450115
RCE,5,alive close,0.48233122559450115
RCE,6,keep alive,0.48233122559450115
RCE,7,close,0.48233122559450115
RCE,8,920210,0.48233122559450115
RCE,9,keep,0.48233122559450115
RCE,10,content,0.4404426969251427
RCE,11,accept charset,0.40485949674764776
RCE,12,920450,0.40485949674764776
RCE,13,accept,0.40485949674764776
RCE,14,header,0.3792582912648264
RCE,15,rid 920340,0.36437132539709954
RCE,16,connection,0.3215541503963341
RCE,17,rid 920210,0.3215541503963341
RCE,18,920,0.2709537682992696
RCE,19,protocol enforcement,0.2709537682992696
RCE,20,920 protocol,0.2709537682992696
RCE,21,request 920,0.2709537682992696
